index,label,document
1,0,[시그널]현대렌탈 매각에 권오규와 현대家 '특별한 인연' 부각
2,0,삼성도 ‘재고대란’ 못 피하나...10년만에 반도체 적자 위기 [MK위클리반도체]
3,0,"""종토방서 욕하면 '삐' 처리"" 카카오페이증권이 띄운 승부수 [인터뷰+]"
4,0,구글도 접었다.. 삼성 '폴더블폰 절대왕좌' 지켜낼까
5,0,"해킹에 털린 삼성전자, 대어급 IT株 상장 잇단 철회... 탈많던 임인년"
6,0,"중견기업 막내아들, '인류 역사상 최고의 부자' 된 사연 [성수영의 그때 그 사람들]"
7,0,"""부자되기 쉽네"" 4억 번 직장인, 다 날리고 2억 손실 '멘붕' [백수전의 '테슬람이 간다']"
8,0,4대 그룹 유일 최태원 회장만 CES 참석 연말연시 잊고 총력전 나선 SK [비즈360]
9,0,3나노 A17이 온다 아이폰15 ‘괴물폰’ 될까 [윤기자의 폰폰폰]
10,0,"尹, 법인세 1%p 인하 그친 데 대해 “野 발목잡기로 온전히 반영 안돼”"
11,0,[한줄읽기] ‘NASA 예술’ 외
12,7,"갤S23, 발열 잡고 훨훨 날까...예상 스펙은"
13,0,일본 갤럭시폰엔
14,0,"삼성전자, 빅딜 ‘감감무소식’인 까닭"
15,0,"[취재수첩] ""최저시급으론 우주 강국 꿈 요원"" '연봉 꼴찌' 항우연의 호소"
16,0,"[아주경제 오늘의 뉴스 종합] '82억 면제' 특사 이명박, 자택 귀가 ""젊은층의 기도 감사"" 외"
17,0,尹 “반도체법 안타깝다... 세제지원 추가 확대 적극 검토해 달라”
18,0,인크루트 조사 올해의 인물은 “박은빈 손흥민 이재용”
19,0,장밋빛 기대로 시작했건만 ‘3고’ 엎친 데 공급망 불안 덮쳐[2022 한국 경제 수놓은 숫자들]
20,0,"한전 적자 해소 필요성 공감하지만...기업들 ""생산 비용 제품 값?인상으로 이어질 수밖에"""
21,0,권오현 삼성전자 고문 유명희 前 통상본부장 서울대 이사로 선출
22,0,시대를 앞서간 벤츠 디자인 입는다면...갤럭시 어떤 모습
23,6,베트남 싱가포르 동남아 현장 점검한 이재용의 한마디는
24,6,"동남아서 귀국한 이재용 회장, “새해에도 열심히 하겠다”"
25,0,"권오현 삼성전자 고문, 서울대 이사 선출"
26,0,[생생경제] '2023 주식 전망' 돈은 시장보다 빠르다! 돈의 선행성 잊지 말아야
27,0,이재용 손흥민 박은빈 '올해의 인물'
28,0,"삼성 메모리, 30년 연속 세계 1위 위기 때 투자 '역발상' 통했다"
29,0,삼성 메모리 새 먹거리는 '고성능 반도체 구독 서비스'
30,0,30년 1위 기념 '삼성맥주' 나왔다
31,0,[천자칼럼] 새해 주식투자
32,0,"美 中 반도체稅 25~100% 깎아주는데 韓, 정쟁에 막혀 뒷북 추격"
33,0,벤츠 디자이너가 삼성으로 간 까닭
34,6,"이재용 동남아 출장후 귀국 ""새해에도 열심히 하겠다"""
35,0,삼성전자 애플 TSMC 울고  中 마오타이만 선방
36,0,로볼 ETF '이름값' 변동장에서 함박웃음
37,0,기준금리 인상에 주가도 부동산도 ↓...내년엔?
38,6,"“새해에도 열심히 해야죠” 이재용, 올해 4번째 귀국 인사"
39,0,2 이재용 삼성전자 회장 입사 31년만에 뉴삼성 지휘
40,0,"불확실한 세계, 그래도 이겨낼 수 있다는 믿음을 준 이들"
41,6,"삼성전자, 벤츠 디자이너 출신 이일환 부사장 영입"
42,6,"벤츠 디자이너' 출신 이일환 부사장, 삼성 갤럭시 디자인 맡는다"
43,6,9박 10일 동남아 출장 다녀온 이재용 회장 “새해에도 열심히 하겠다”
44,0,이름값한 '로우볼' ETF 오락가락 증시사이 '안정적 성과'
45,0,주식 때문에 열받는 사람 많은 이유 있었네 국가별 대표주 성적표 보니
46,0,"출국길 '그 패딩조끼' 다시 입은 이재용 ""열심히 하겠다"""
47,6,동남아 출장 다녀온 이재용 회장 “새해에도 열심히 하겠다”
48,6,"동남아 출장 마친 이재용 ""내년엔 좋은 일만 있기를""(종합)"
49,0,"부부 주식양도세 기준 20억으로, 증권거래세율은 0.20%"
50,0,韓美개미들 짝사랑만 하다 한해 다갔다 눈물 쏙 뺀 종목은 [이종화의 세돌아이]
51,6,"이재용, 동남아서 10일만에 귀국 ""새해 열심히 하겠다"""
52,6,"동남아 출장 마친 이재용, 2023년도 달린다 ""열심히 하겠다"""
53,6,"이재용, 동남아 출장 마치고 30일 귀국"
54,0,“국민주 투자했다 일년 내내 마음 고생했다”...동학개미 투자 네카오 급락
55,6,"이재용 회장, 동남아 출장 마치고 귀국 “새해에도 열심히 하겠다”"
56,0,"직원 연봉 2억에 재택근무, 부러움 샀는데 “파티 끝났다”"
57,6,동남아 출장 마친 이재용 “새해 열심히 하겠다”
58,6,"?이재용 삼성전자 회장, 9박 10일 동남아 출장서 귀국 ""열심히 하겠다"""
59,6,올 마지막 출장서 돌아온 이재용 “내년에도 열심히 하겠다”
60,6,"동남아 거점 살핀 이재용 ""새해 열심히 하겠다"""
61,0,"""한숨만 쌓이네"" 반도체 재고 10년 만에 최대"
62,0,"삼성전자 ""화면 두 배로"" VS LG전자 ""속이 보인다""...가전 빅2의 겨울 냉장고 전쟁"
63,0,"“너만 계속 눈에 들어오더라”...올해의 인물, 방송연예 1위는?"
64,0,[책담]“주식중독 완치율 40% 최고 우량주는 '자신'”
65,0,엄격한 성과주의 그늘인가 삼성 성과급 '부익부빈익빈' 뚜렷
66,0,끝내 '산타랠리'는 없었던 2022년 2023년 '1월 효과'는 올까
67,0,전자업계 혹한기 “새해에도 계속될 것”
68,0,"TSMC, 3나노 양산 시작 '반도체 불황기' 삼성과 경쟁 가열"
69,0,5만 전자 34주째 아파트값 하락 3.25%까지 치솟은 금리
70,0,"‘삼성전자 1호 스핀오프’ 솔티드, 브릿지 투자 유치"
71,0,[아듀 2022 증시결산 | ② 2008년 금융위기 이후 최악] 인플레이션 쇼크  공격적 금리인상에 끝없이 추락한 증시
72,0,"세계 7번째 우주 강국 도약에도 ""성과금 따위 없다"" 한탄"
73,,"삼성엔지니어링, 이재용 회장 첫 출장지 UAE서 2.5조 가스전 본 계약 임박"
74,7,"""엑시노스 대신 미디어텍"" 삼성 '갤럭시 A34'"
75,6,삼성 갤럭시 벤츠 디자인 입는다 ‘벤츠 디자이너’ 이일환 부사장 영입
76,6,"[단독] “이재용 회장 말처럼 ‘기회의 땅’ 맞네” 삼성엔지니어링, UAE ‘2.5조 잭팟’ 임박"
77,0,"박은빈 손흥민 이재용, 2022 올해의 인물 선정"
78,0,"e편한세상 시티 평택고덕, 청약 성황리 마무리 최고 경쟁률 55대 1"
79,0,"신세계까사 가구, SK매직서 렌탈하세요"
80,0,[아주증시포커스] 고물가 고금리 고환율 삼중고에 올해 최악의 증시 外
81,0,"동양정공, 금형기술 차별화 車분야로 사업 확대"
82,0,"이환위리 환부작신, 그리고 '원팀' 경제단체장 2023년 키워드에 담긴 '도약의 꿈'"
83,8,[강해령의 하이엔드 테크] 삼성전자 12나노급 D램에 관한 7가지 흥미로운 이야기 <1>
84,8,[강해령의 하이엔드 테크] 삼성전자 12나노급 D램에 관한 7가지 흥미로운 이야기 <2>
85,0,[굿모닝경제] 오늘 전기요금 인상안 발표...전국 미분양 물량 급증
86,0,"포스코, 제철소 침수 사태수습  고객사 피해 최소화 동분서주"
87,0,"불황 아랑곳 않는 냉장고, 백색가전은 옛말 '이젠 색깔 보고 산다'"
88,0,"허리띠 바짝 졸라맨 기업들  생산도, 투자도, 사람도, 다 줄인다"
89,0,‘재벌집’은 극사실주의 드라마였다 ‘현실 진도준들’ 예지력 보면
90,0,3고 충격 강타한 ‘악몽의 2022’ 서민들 “내년도 하루살이 급급”
91,0,시총 박살난 '네카오' LG엔솔에 시총 80% 늘어난 LG그룹 '우뚝'
92,0,[광화문]지배구조 개선Ⅰ- 회장을 없애라
93,0,"“평택항 일대에 수소 특화단지 조성, 수소도시 메카로 만들것”"
94,0,그 ‘재벌집’ 엔딩처럼 전문경영인체제가 정답일까?
95,0,"삼성 ‘초연결’ LG ‘업가전’ SK ‘전기차’ 기업들, CES 총출동"
96,0,"""삼성전자 40조 매물폭탄"" 삼성생명법 증시만 흔드는 게 아니다[부꾸미]"
97,0,"‘3000피’ 넘봤던 코스피, 2200선 폐장 올해 24.9% ‘털썩’"
98,0,"[김태일의 좋은 정부만들기] 법인세 논쟁, 어떻게 봐야 할까"
99,7,삼성-LG ‘프리미엄 가전’ CES서 공개
100,7,"삼성전자 LG전자, CES2023서 신제품 자존심 대결"
101,0,‘더 프레임’으로 들어온 미술 작품
102,0,삼성전자 브이로그 ‘S로그’ 시즌3
103,0,"실적 호전 15대 대기업, 6곳만 직원 수 늘었다"
104,9,‘배 차 소 바’ 신성장산업은 사람 못 구해 난리 고용 명암
105,6,[비전 2023] 과감한 투자와 혁신으로 글로벌 성장동력 확보 나선다
106,2,[비전 2023] 반도체 AI 차세대통신 미래 신사업 중심 연구개발에 집중
107,0,경영 전면에 나선 ‘대기업 장남들’ 미래 먹거리 챙긴다
108,8,금리인상 여파 올해 코스피 시가총액 430조 날아갔다
109,7,"“5천만원 손실, 삼성전자 지금이라도 팔아야 해?” 세계 최고 ‘AI’ 치명적 오답?"
110,0,"광운대 고승훈 교수, 반도체 설계 올림픽 발표자로 선정"
111,0,[심층인터뷰] 키워드로 본 ‘2022 경제’
112,0,떨어지고 또 떨어진 코스피...올 한해 25% '폭락'
113,8,"""경기 불확실성 큰 탓에"" 네이버 '환율' 검색량 올해 5위로 껑충"
114,0,JP모건의 ‘스팩’ 단타  저위험 고수익 노려
115,0,"코스피 2236 폐장 올해 -24%, 금융위기 이후 최대 폭 하락"
116,0,“경기침체에도 갈 놈은 간다” 내년 토끼처럼 뛰어오를 종목은
117,0,"TSMC, 대만남부공장에서 3나노칩 양산 시작"
118,9,"도약 거듭한 2022년 IoT 시장, 내년부터 판 더 커진다"
119,7,"“5천만원 손실, 삼성전자 지금이라도 팔아야 해?” 세계 최고 ‘AI’ 치명적 오답?"
120,0,"삼성 바짝 추격하는 TSMC, 3나노 반도체 양산 시작"
121,0,[사설] 소비 한파에 반도체도 내리막 규제혁파로 활력 회복해야
122,2,[다가오는 `CES 2023`] 모빌리티 메타버스 `빠져들어라` 삼성 LG SK 등 3000곳 신기술
123,0,"‘접히는’ 아이폰, 내년 나온다더니 소문만 무성"
124,0,"[홍성걸 칼럼] 반도체 대하는 태도, 이건 나라가 아니다"
125,0,"코스피, 폐장일도 급락...2,230대로 올해 거래 마감"
126,0,경영 보폭 넓히는 대기업 3 4세 주목 “미래 먹거리 선점한다”
127,0,3300 간다더니 결국 2236 16조 담은 개미 '피눈물'
128,0,테슬라 ELS 하룻밤 새 1700억 증발 위기 잠 못드는 투자자 [마켓워치]
129,7,32형 대형 스크린 탑재 ‘비스포크 냉장고’ 공개 [미리보는 CES 2023]
130,0,끝내 못 이긴 3高 악재 시총 567조 증발
131,0,올해 코스피 시총 430조 증발...역대 5번째 부진한 성적표
132,0,"신세계까사 가구, SK매직서 렌탈하세요"
133,0,숫자로 본 올해 증시
134,0,"[ET] 3나노 양산 돌입한 TSMC, 삼성전자 초격차 더 벌어지나?"
135,2,[지평선]?반도체 설비투자 세액공제 논란
136,0,금융위기 이후 최악 성적... 꼴찌 코스피에 개미 피눈물
137,8,커지는 불황 공포  얼어붙은 세밑경기
138,2,"재고만 쌓이는 반도체, 내년 반값떨이하나"
139,8,"[생생경제] 미중 사이에 낀 우리나라 경제, 내년 전망은?"
140,0,"“BMW 끝났다” 비웃었는데...벤츠 복통유발, 7년 내공 ‘사장차 끝판왕’ [왜몰랐을카]"
141,7,냉장고에 32인치 TV 탑재 문 안열고도 내부가 훤히 
142,9,그래도 ‘배?차?소’에는 훈풍 혹한기에도 채용 늘리는 기업은
143,0,"올 증시 1월3일 개장일이 ‘꼭지’였다 코스피, 3천대 찍고 내리막"
144,0,유종의 미'도 없었다 잔혹한 12월 코스피
145,0,숫자로 본 올해 증시
146,0,"채권 강자 KB證, 주식발행 시장도 쓸었다"
147,0,-25% 쭉 빠진 코스피 시가총액 436조원 증발했다
148,2,AI 냉장고 LCD 세탁기 차세대 배터리 삼성 LG SK ‘미래기술’의 향연
149,0,폐장일에도 급락 올해 코스피 25% 빠져 14년만에 최대 낙폭
150,0,?올 한해 개인들 뒤통수 제대로 친 마이너스 종목은?
151,9,벤처기업 매출액 223조 달성
152,0,"코스피, 폐장일도 급락...2,230대로 올해 거래 마감"
153,0,‘기업 성장=일자리 증가’ 공식 깨졌다 대표 기업 15곳 살펴보니
154,0,"올해 마지막 거래일, 코스피 2230선 마감"
155,0,2900→2200 악몽 같았던 코스피 삼성전자 네카오 초토화
156,0,반도체 등 첨단분야 석 박사 1303명 증원 80%는 수도권대 몫
157,0,[마감시황] 2236으로 마감한 2022년 코스피 코스닥은 680선 하회
158,0,토끼처럼 깡충 내년에 튀어오를 종목 골라볼까
159,1,[2023 키워드 R] Part1 Regeneration (친환경) | 기업성장의 필수조건 된 탄소중립
160,0,[송년호]반도체로 경제위기 극복
161,8,[2023 키워드 R] Part1 Re-bloc (新냉전) | 미 중 러 갈등에 동맹 짝짓기 새 조류
162,0,올해 증시 마지막날 코스피 1.9% 급락 2230선 후퇴
163,0,1년 내내 흘러내린 증시 코스피 연초 대비 25% 하락
164,0,[2022 국내 10대 뉴스]윤석열 대통령 취임
165,0,[2022 국내 10대뉴스]이재용 삼성전자 회장 취임
166,8,[2022 해외 10대 뉴스]美 EU 반도체 지원법 발표
167,0,"[fn마감시황] 코스피, 2230대로 올해 마감...외인 기관 폭풍 매도"
168,0,"한투 ""삼성전자 이제 사야할 때"""
169,0,"[마감시황] 2022 막내린 코스피, 2230선으로 하락 마감 마지막까지 폭락"
170,0,"프리미엄 전쟁 벌이는 삼성-LG, 새해 승부처는 냉장고"
171,0,"고승훈 광운대 교수, ISSCC 논문 발표자 선정"
172,0,"삼성전기, 성과급 1년 새 반토막 연봉의 12~19%"
173,6,"양자 격차' 줄여라 과기정통부, 내달 로드맵 내놓는다"
174,2,"""연말 대목 효과 없었다"" SK하이닉스 이어 삼성까지 적자 예고"
175,0,냉장고 앞에 32인치 TV가 ‘딱’ 가전 빅2 프리미엄 전쟁
176,6,"3년 만에 온전히 열리는 CES, 국내 기업 총출동"
177,0,"3나노 반도체 전쟁 시작 TSMC ""양산 개시"""
178,0,삼성 비스포크 LG 시그니처 신제품 CES서 첫 선(종합)
179,0,"5대 그룹 총수, 尹정부 첫 재계 신년인사회 총출동"
180,0,601만4851명...그래도 삼성전자는 믿는다
181,0,"삼성전기, 실적 악화에 성과급 반토막 연봉 최대 19%"
182,0,"SK매직, 신세계까사와 업무협약 체결 생활구독 영역 확장"
183,0,"화인써키트, 신영스팩6호와 합병 승인 내년 2월 코스닥 상장"
184,0,[오후시황] 증시 폐장일 2250선까지 반납한 코스피
185,0,이재용 양승태 아직 1심이라고? 해 넘어가는 재판 언제 끝나나
186,7,예술 작품도 삼성 '더 프레임' TV로 유니온 아트페어에서 디지털 전시
187,0,[논단]통계는 거짓말하지 않는다
188,2,"갤S23 출고가 올려, 말어? MX사업부 부진에 고민 깊어지는 삼성전자"
189,0,양자기술 최고위 전략대화 첫 개최...민 관 전략적 투자방안 논의
190,0,"케이던스, 카카오톡채널 이벤트 실시 혁신제품 기세 잇는다"
191,6,"위기의 메타, 한국 300억 이어 유럽서 15조 과징금"
192,0,삼성생명 보유 삼성전자 지분 '부채'로
193,0,[10시 시황 해설자들 - 해설자들] 최악이 지나도 난 뒤 2023 삼성전자 기회가 올까
194,0,자금 빠지는 삼성그룹주 ETF  ‘삼성생명법’ 악재 추가?
195,7,"삼성전자, 2배 커진 스크린 탑재한 패밀리허브 냉장고 공개"
196,7,"삼성전자, CES서 32인치 풀HD 스크린 탑재 ‘스마트 냉장고’ 공개"
197,6,CES 다보스 포럼 재계 총수들은 새해에도 출장길
198,7,"“TV야, 냉장고야?” 삼성전자, 32인치 대화면 냉장고 공개"
199,0,[뉴스라이브] 키워드로 보는 '2022 한국 경제'...염승환의 새해 전망은?
200,7,"[다가오는 CES 2023] 삼성전자, 비스포크 냉장고 신제품 공개"
201,0,"[CES 2023] 내달 5일 개막..AMD, BMW 회장 등 연사 750명"
202,7,"삼성 LG, CES서 초대형 럭셔리 신가전 대거 출동"
203,0,"""산 학 연 관 모여 양자기술 키운다"""
204,2,K-반도체 공장이 안 돌아간다 생산 가동률 동반 급감 경고등
205,0,삼성전자에서 돈 냄새 맡았나 주식 초고수들 매수 강도 높인다
206,7,냉장고 만졌더니 '깜짝' 삼성전자가 예고한 놀라운 신제품 [영상]
207,7,캔버스 된 삼성 ‘더 프레임’ TV
208,7,"삼성전자, 32인치 터치 스크린 탑재한 패밀리허브 냉장고 공개"
209,7,[커머스 핫라인]“매일 새 옷처럼” 의류관리기 '인기'
210,7,“삼성 냉장고에 TV가 들어갔다” 대화면으로 드라마 보면서 레시피 검색까지
211,7,"냉장고 모니터도 '거거익선' 삼성, CES2023서 기존 2배 비스포크 신제품 선봬"
212,5,"""삼성 SK도 재해대책 강화해야"" 반도체 정유사도 BCP 권고"
213,7,유튜브 보고 아마존 주문까지 삼성 '비스포크 냉장고 패밀리허브 플러스'의 진화
214,7,"터치스크린 2배 커졌다 삼성전자, 패밀리허브 냉장고 신제품 공개"
215,2,"한국 반도체 생산 11% 줄었다 대만 1등 기업도 내년 1분기 ‘위기’, 왜? [비즈360]"
216,0,SK매직 가전이어 가구까지 구독영역 확장
217,0,"e편한세상 시티 평택고덕, 청약 성황리 마무리 최고 경쟁률 55대 1"
